acX,acY,acZ,gyX,gyY,gyZ,,Akselerasi
0.9,0,0.42,496.65,0.69,500.8,10:32:41,0.993176721
0.89,0,0.42,498.01,0.13,500.67,10:32:41,0.984123976
0.89,0,0.43,497.3,1.53,500.11,10:32:42,0.988433103
0.9,0,0.42,499.72,0.72,1.35,10:32:42,0.993176721
0.89,0.01,0.43,497.35,0.15,500.73,10:32:43,0.988483687
0.9,0,0.43,498.14,-0.05,1.15,10:32:43,0.99744674
0.9,0,0.42,498.41,0.77,500.34,10:32:44,0.993176721
0.89,0.01,0.43,499.23,0.53,500.96,10:32:44,0.988483687
0.89,0.01,0.44,496.99,0.36,500.66,10:32:45,0.992874614
0.89,0.01,0.43,499.32,0.01,1.86,10:32:45,0.988483687
0.9,0.01,0.42,497.69,-0.37,500.85,10:32:46,0.993227064
0.9,0,0.42,498.74,1.69,500.89,10:32:46,0.993176721
0.99,0.06,0.17,6.55,46.67,468.77,10:33:10,1.006280279
0.73,0.37,0.59,0.72,-0.34,20.19,10:33:10,1.008910303
0.71,0.3,0.59,35.32,12.22,56.94,10:33:11,0.970669872
0.75,0.03,0.6,488.65,3.6,3.16,10:33:11,0.960937043
0.78,0.25,0.61,474.82,0.09,473.76,10:33:12,1.021273715
0.81,0.11,0.55,481.07,6.39,487.32,10:33:12,0.985241087
0.82,0.13,0.55,499.23,2.23,1.28,10:33:13,0.99589156
0.8,0.19,0.56,9.08,2.15,6.64,10:33:13,0.99483667
0.79,0.18,0.56,482.69,493.92,485.71,10:33:14,0.984936546
0.81,0.13,0.54,499.54,-0.4,1.64,10:33:14,0.982140519
0.82,0.12,0.53,498.14,0.7,0.98,10:33:15,0.983717439
0.82,0.11,0.53,498.67,0.76,1.13,10:33:15,0.982547709
0.82,0.12,0.53,0.7,0.92,2.3,10:33:17,0.983717439
0.87,0.09,0.53,499.15,-0.05,1.94,10:33:17,1.022692525
0.82,0.11,0.54,497.45,3.11,499.27,10:33:18,0.987977733
0.82,0.11,0.57,499.22,5.02,2.58,10:33:18,1.004689007
0.79,0.1,0.58,499.14,497.14,2.64,10:33:19,0.985139584
0.74,0.07,0.62,484.38,8.41,493.46,10:33:19,0.967935948
0.81,0.07,0.58,494,-1.4,0.96,10:33:20,0.998699154
0.8,0.06,0.57,500.78,7.5,1.11,10:33:20,0.984123976
0.83,0.06,0.55,498.54,497.58,500.76,10:33:21,0.997496867
0.81,0.07,0.55,498.36,0.6,500.88,10:33:21,0.981580358
1,0.01,0.44,496.73,1.14,500.92,10:33:22,1.092565787
0.99,0,0.45,498.21,0.58,500.97,10:33:22,1.087474138
1.2,0,0.51,497.38,1.98,500.55,10:33:23,1.303878829
1.08,0,0.52,499.84,1.15,1.64,10:33:23,1.198665925
1.25,0.02,0.49,497.63,0.23,500.91,10:33:24,1.342758355
1.33,0,0.47,498.61,0.38,1.28,10:33:24,1.410602708
1.37,0.01,0.42,498.62,1.16,500.58,10:33:25,1.432968946
0.98,0.02,0.51,499.63,0.57,501.03,10:33:25,1.104943437
0.93,0.01,0.53,497.38,0.68,500.79,10:33:26,1.070467188
1.24,0.02,0.52,499.48,0.03,2.3,10:33:26,1.344767638
0.94,0.01,0.46,497.84,-0.15,501.25,10:33:26,1.046565813
1.39,0.01,0.43,499.14,1.79,501.36,10:33:26,1.455025773
1.49,0.07,0.25,6.59,46.97,469.07,10:33:27,1.512448346
0.96,0.37,0.69,0.91,-0.22,20.4,10:33:27,1.238789732
0.86,0.3,0.66,35.78,12.41,57.27,10:33:28,1.124811095
1.21,0.03,0.63,489.02,3.78,3.18,10:33:28,1.364514566
0.95,0.25,0.69,474.87,0.35,473.79,10:33:29,1.200458246
1.01,0.11,0.62,481.27,6.56,487.33,10:33:29,1.190210065
0.82,0.14,0.64,499.36,2.25,1.58,10:33:30,1.049571341
1.23,0.19,0.66,9.57,2.34,6.9,10:33:30,1.408758319
1.02,0.18,0.59,483.06,494.27,485.82,10:33:31,1.192015101
1.03,0.13,0.56,499.82,-0.15,1.92,10:33:31,1.179576195
1.15,0.12,0.55,498.58,1.08,1.12,10:33:32,1.280390565
1.28,0.12,0.61,498.98,1.22,1.42,10:33:32,1.42298981
0.98,0.12,0.6,1.05,1.08,2.49,10:33:33,1.155335449
1.08,0.09,0.54,499.31,0.11,2.44,10:33:33,1.210826164
1.18,0.12,0.57,497.66,3.42,499.62,10:33:34,1.315940728
1.24,0.12,0.62,499.65,5.19,2.86,10:33:34,1.391545903
0.8,0.1,0.64,499.21,497.48,3.07,10:33:35,1.029368739
1.17,0.08,0.65,484.74,8.68,493.67,10:33:35,1.340820644
1.25,0.07,0.6,494.26,-1.23,1.29,10:33:35,1.388308323
1.02,0.06,0.66,501.2,7.89,1.14,10:33:35,1.216388096
1.04,0.07,0.61,498.69,497.6,501.06,10:33:36,1.207725134
